- name sven@i; moonlat 48.221961964435195; moonlng -55.0216731272651; score 134.33027721606302; timestamp 2018-05-26 15:17:56.886316; status received; version 2; 
- name sven@i; moonlat -33.52971155874975; moonlng -98.46443480684063; score 207.461189098977; timestamp 2018-05-26 15:17:58.047369; status received; version 2; 
- name sven@i; moonlat -11.786472520574485; moonlng 57.92963554564736; score 274.65259948438535; timestamp 2018-05-26 15:17:58.601518; status received; version 2; 
- name sven@i; moonlat -40.825414208046766; moonlng 151.53386173109834; score 299.7383256915061; timestamp 2018-05-26 15:18:04.065740; status received; version 2; 
- name sven@i; moonlat -75.26383259093328; moonlng 60.249339751961; score 354.78507315726876; timestamp 2018-05-26 15:18:05.136677; status received; version 2; 
- name sven@i; moonlat -38.1495074090548; moonlng 14.607078762392337; score 437.58280595744384; timestamp 2018-05-26 15:18:05.705977; status received; version 2; 
- name sven@i; moonlat -22.696460618803833; moonlng 67.30353938119617; score 454.98330954434397; timestamp 2018-05-26 15:18:07.409234; status received; version 2; 
- name sven@i; moonlat 17.626745590182736; moonlng -13.888871803446875; score 506.1878352635763; timestamp 2018-05-26 15:18:08.580014; status received; version 2; 
- name sven@i; moonlat 6.767153389353751; moonlng 8.42524691366242; score 668.5353764069896; timestamp 2018-05-26 15:18:56.827420; status received; version 2; 
- name sven@i; moonlat 10.89154591840969; moonlng -4.2523370421691595; score 748.8313678382209; timestamp 2018-05-26 15:22:41.034997; status received; version 2; 
- name sven@i; moonlat 12.95374218293766; moonlng -7.700949821872626; score 883.7368763606511; timestamp 2018-05-26 15:23:06.891215; status received; version 2; 
- name sven@i; moonlat 12.967995391603006; moonlng -7.643637095496413; score 915.5185958674322; timestamp 2018-05-26 15:25:07.374112; status received; version 2; 
- name sven@i; moonlat 12.96888621714459; moonlng -7.640055050097899; score 915.9226095919432; timestamp 2018-05-26 15:26:31.165376; status received; version 2; 
- name sven@i; moonlat 12.969331629915382; moonlng -7.638264027398643; score 916.3209317479348; timestamp 2018-05-26 15:26:42.963540; status received; version 2; 
- name sven@i; moonlat 40.7826378978051; moonlng 85.38440780930954; score 266.1507959972974; timestamp 2018-05-26 15:28:59.325338; status received; version 2; 
- name sven@i; moonlat 22.704911690785863; moonlng -40.622913361789834; score 456.5873305904325; timestamp 2018-05-26 15:29:03.665959; status received; version 2; 
- name sven@i; moonlat 30.273215587714482; moonlng 54.16388448238644; score 470.534056938618; timestamp 2018-05-26 15:29:07.169349; status received; version 2; 
- name sven@i; moonlat 5.812835716553705; moonlng -13.073786099254239; score 618.0483342985194; timestamp 2018-05-26 15:29:11.524133; status received; version 2; 
- name sven@i; moonlat 7.750447622071606; moonlng -17.43171479900565; score 708.0607866325512; timestamp 2018-05-26 15:29:16.673329; status received; version 2; 
- name sven@i; moonlat 11.376547963399958; moonlng -8.715857399502825; score 727.5599372047649; timestamp 2018-05-26 15:29:26.799982; status received; version 2; 
- name sven@i; moonlat 9.563497792735781; moonlng -4.357928699751413; score 773.6156394979797; timestamp 2018-05-26 15:29:27.391117; status received; version 2; 
- name sven@i; moonlat 12.751330390314374; moonlng -5.81057159966855; score 786.3031457224546; timestamp 2018-05-26 15:29:32.739834; status received; version 2; 
- name sven@i; moonlat 13.241766174557235; moonlng -6.034055122732725; score 813.926649488586; timestamp 2018-05-26 15:30:46.944130; status received; version 2; 
- name sven@i; moonlat 13.303070647587592; moonlng -6.061990563115747; score 833.2924074635962; timestamp 2018-05-26 15:31:33.604864; status received; version 2; 
- name sven@i; moonlat 40.7826378978051; moonlng 85.38440780930954; score 293.67736078497836; timestamp 2018-05-26 15:32:04.178457; status received; version 2; 
- name sven@i; moonlat 5.153499975761221; moonlng -83.90485298928488; score 331.91629553523575; timestamp 2018-05-26 15:32:05.408454; status received; version 2; 
- name sven@i; moonlat 15.051782777658538; moonlng -95.31518135739779; score 384.4036006064126; timestamp 2018-05-26 15:32:06.405945; status received; version 2; 
- name sven@i; moonlat -22.474108611170735; moonlng 12.342409321301112; score 478.16658504981274; timestamp 2018-05-26 15:32:09.226006; status received; version 2; 
- name sven@i; moonlat 29.965478148227646; moonlng -16.456545761734816; score 596.2530344913905; timestamp 2018-05-26 15:32:11.141134; status received; version 2; 
- name sven@i; moonlat 14.871419886900568; moonlng 40.82957918407459; score 661.6591242971385; timestamp 2018-05-26 15:33:18.915440; status received; version 2; 
- name sven@i; moonlat 40.7826378978051; moonlng 85.38440780930954; score 298.66241905308385; timestamp 2018-05-26 15:33:56.597745; status received; version 2; 
- name sven@i; moonlat 12.384233127021552; moonlng 36.0274579585076; score 492.06437055865047; timestamp 2018-05-26 15:33:57.705963; status received; version 2; 
- name sven@i; moonlat 14.448271981525144; moonlng -6.004576326417933; score 580.7816472323063; timestamp 2018-05-26 15:34:06.720097; status received; version 2; 
- name sven@i; moonlat 19.264362642033525; moonlng 8.006101768557244; score 590.2655708959372; timestamp 2018-05-26 15:34:10.502655; status received; version 2; 
- name sven@i; moonlat 18.57634969053233; moonlng -6.004576326417933; score 636.488699815107; timestamp 2018-05-26 15:34:21.661780; status received; version 2; 
- name sven@i; moonlat -22.291619628638795; moonlng -7.205491591701519; score 651.7280336770476; timestamp 2018-05-26 15:34:39.448334; status received; version 2; 
